n,length,persona,seed,variant,winner,reason,days,nights,hull_left,scurvy_started,scurvy_cleared,attacks,rule_fallbacks,empty_ship_stalemate,identity_discards,relocation_rollbacks
6,short,kaotik,18331403085681940180,B,hain,sunk,2,1,0,1,0,0,0,0,0,0
6,short,kaotik,18258018630220156657,A,crew,port,4,4,1,1,1,0,0,0,0,0
6,short,kaotik,18258018630220156657,B,crew,port,4,4,1,1,1,1,0,0,0,0
6,short,kaotik,10941820454127851059,A,crew,port,5,5,1,0,0,2,0,0,0,0
6,short,kaotik,10941820454127851059,B,crew,port,5,5,1,0,0,2,0,0,0,0
6,short,kaotik,2067129133208380210,A,hain,sunk,5,4,0,1,1,3,0,0,0,0
6,short,kaotik,2067129133208380210,B,hain,sunk,5,4,0,1,1,3,0,0,0,0
6,short,kaotik,6516723590725724903,A,hain,scurvy,5,4,1,1,0,1,0,0,0,0
6,short,kaotik,6516723590725724903,B,hain,sunk,5,4,0,1,0,1,0,0,0,0
6,short,kaotik,1223920661895836031,A,crew,port,5,5,1,1,1,3,0,0,0,0
6,short,kaotik,1223920661895836031,B,crew,port,5,5,1,1,1,3,0,0,0,0
6,short,kaotik,8707409607627047824,A,crew,port,5,5,2,0,0,3,0,0,0,0
6,short,kaotik,8707409607627047824,B,crew,port,5,5,2,0,0,3,0,0,0,0
6,short,kaotik,9857372885239935628,A,crew,port,4,4,1,1,1,2,0,0,0,0
6,short,kaotik,9857372885239935628,B,hain,sunk,4,3,0,1,0,2,0,0,0,0
6,short,kaotik,10374900493963586122,A,crew,port,5,5,2,1,1,4,0,0,0,0
6,short,kaotik,10374900493963586122,B,crew,port,5,5,2,1,1,4,0,0,0,0
6,short,kaotik,16276289477729551749,A,hain,sunk,2,1,0,1,0,0,0,0,0,0
6,short,kaotik,16276289477729551749,B,hain,sunk,2,1,0,1,0,0,0,0,0,0
6,short,kaotik,12258354343007504516,A,crew,port,3,3,1,1,1,1,0,0,0,0
6,short,kaotik,12258354343007504516,B,crew,port,3,3,1,1,1,1,0,0,0,0
6,normal,temkinli,11491986184420196804,A,hain,sunk,6,5,0,1,1,3,0,0,0,0
6,normal,temkinli,11491986184420196804,B,hain,sunk,7,6,0,1,1,3,0,0,0,1
6,normal,temkinli,7291979687134774155,A,hain,sunk,4,3,0,0,0,2,0,0,0,0
6,normal,temkinli,7291979687134774155,B,hain,sunk,4,3,0,0,0,2,0,0,0,0
6,normal,temkinli,1359713641072812185,A,hain,sunk,3,2,0,1,0,0,0,0,0,0
6,normal,temkinli,1359713641072812185,B,hain,sunk,3,2,0,1,0,0,0,0,0,0
6,normal,temkinli,17289002784292897950,A,crew,port,6,6,1,1,1,0,0,0,0,0
6,normal,temkinli,17289002784292897950,B,crew,port,7,7,2,1,1,5,0,0,0,0
6,normal,temkinli,3484819825539349252,A,crew,port,6,6,2,1,1,0,0,0,0,0
6,normal,temkinli,3484819825539349252,B,crew,port,6,6,2,1,1,1,0,0,0,0
6,normal,temkinli,3343902697783948176,A,crew,port,6,6,1,1,1,3,0,0,0,0
6,normal,temkinli,3343902697783948176,B,crew,port,6,6,1,1,1,3,0,0,0,0
6,normal,temkinli,9244710538790259059,A,crew,port,6,6,1,1,1,3,0,0,0,0
6,normal,temkinli,9244710538790259059,B,crew,port,6,6,1,1,1,3,0,0,0,0
6,normal,temkinli,17458002609617505871,A,hain,sunk,6,5,0,1,1,2,0,0,0,0
6,normal,temkinli,17458002609617505871,B,hain,sunk,6,5,0,1,1,1,0,0,0,0
6,normal,temkinli,9502996674160083779,A,hain,sunk,3,2,0,1,1,1,0,0,0,0
6,normal,temkinli,9502996674160083779,B,hain,crew_extinct,7,7,1,1,1,5,0,0,0,0
6,normal,temkinli,18294055880885223616,A,hain,sunk,5,4,0,1,1,1,0,0,0,0
6,normal,temkinli,18294055880885223616,B,hain,sunk,5,4,0,1,1,1,0,0,0,0
6,normal,temkinli,17142452719531347335,A,hain,sunk,6,5,0,1,1,1,0,0,0,0
6,normal,temkinli,17142452719531347335,B,hain,sunk,6,5,0,1,1,1,0,0,0,0
6,normal,temkinli,7269383300734669667,A,hain,sunk,4,3,0,1,0,0,0,0,0,0
6,normal,temkinli,7269383300734669667,B,hain,sunk,5,4,0,1,0,0,0,0,0,0
6,normal,temkinli,560870152256939469,A,crew,port,5,5,2,1,1,4,0,0,0,0
6,normal,temkinli,560870152256939469,B,crew,port,5,5,2,1,1,0,0,0,0,0
6,normal,temkinli,14662698913296037639,A,hain,sunk,4,3,0,1,1,0,0,0,0,0
6,normal,temkinli,14662698913296037639,B,hain,sunk,4,3,0,1,1,0,0,0,0,0
6,normal,temkinli,7075391232234188878,A,hain,sunk,5,4,0,1,1,0,6,0,0,0
6,normal,temkinli,7075391232234188878,B,crew,port,6,6,1,1,1,0,6,0,0,0
6,normal,temkinli,18296571128495065539,A,crew,port,6,6,2,1,1,5,0,0,0,0
6,normal,temkinli,18296571128495065539,B,crew,port,6,6,2,1,1,5,0,0,0,0
6,normal,temkinli,4360549139622557996,A,hain,sunk,7,6,0,1,1,2,0,0,0,0
6,normal,temkinli,4360549139622557996,B,hain,crew_extinct,5,5,2,1,1,4,0,0,0,0
6,normal,temkinli,13630833785412181127,A,crew,port,6,6,1,1,1,2,0,0,0,0
6,normal,temkinli,13630833785412181127,B,crew,port,6,6,1,1,1,2,0,0,0,0
6,normal,temkinli,2214898918072277081,A,hain,sunk,5,4,0,1,1,1,0,0,0,0
6,normal,temkinli,2214898918072277081,B,hain,sunk,5,4,0,1,1,1,0,0,0,0
6,normal,temkinli,12622915774347635792,A,hain,scurvy,6,5,1,1,0,2,0,0,0,0
6,normal,temkinli,12622915774347635792,B,hain,sunk,6,5,0,1,0,1,0,0,0,0
6,normal,dengeli,3359937969512201773,A,hain,sunk,8,7,0,1,1,2,7,0,0,0
6,normal,dengeli,3359937969512201773,B,hain,sunk,8,7,0,1,1,2,7,0,0,0
6,normal,dengeli,1130026189859589076,A,hain,sunk,4,3,0,1,1,1,0,0,0,0
6,normal,dengeli,1130026189859589076,B,hain,sunk,4,3,0,1,1,1,0,0,0,0
6,normal,dengeli,397587145113340088,A,hain,sunk,9,8,0,0,0,4,0,0,0,0
6,normal,dengeli,397587145113340088,B,hain,sunk,9,8,0,0,0,4,0,0,0,0
6,normal,dengeli,8852755189009367543,A,hain,crew_extinct,5,5,2,1,0,4,0,0,0,0
6,normal,dengeli,8852755189009367543,B,hain,sunk,6,5,0,1,0,1,0,0,0,0
6,normal,dengeli,6418513870975138113,A,hain,scurvy,7,6,1,1,0,2,0,0,0,0
6,normal,dengeli,6418513870975138113,B,crew,port,5,5,2,1,1,2,0,0,0,0
6,normal,dengeli,8294585303944944303,A,crew,port,6,6,1,1,1,1,0,0,0,0
6,normal,dengeli,8294585303944944303,B,crew,port,7,7,1,1,1,0,0,0,0,0
6,normal,dengeli,17919650633967833034,A,hain,sunk,4,3,0,1,1,2,0,0,0,0
6,normal,dengeli,17919650633967833034,B,hain,sunk,6,5,0,1,1,3,0,0,0,0
6,normal,dengeli,1608848335031374668,A,hain,sunk,7,6,0,1,0,2,0,0,0,0
6,normal,dengeli,1608848335031374668,B,hain,sunk,7,6,0,1,0,2,0,0,0,0
6,normal,dengeli,14213039629994850194,A,crew,port,5,5,1,1,1,1,0,0,0,0
6,normal,dengeli,14213039629994850194,B,crew,port,5,5,2,1,1,1,0,0,0,0
6,normal,dengeli,3871612373196535781,A,crew,port,6,6,2,1,1,3,0,0,0,0
6,normal,dengeli,3871612373196535781,B,crew,port,6,6,2,1,1,3,0,0,0,0
6,normal,dengeli,11760145350733730898,A,hain,sunk,5,4,0,1,1,0,0,0,0,0
6,normal,dengeli,11760145350733730898,B,crew,port,6,6,2,1,1,1,0,0,0,0
6,normal,dengeli,10606596958131815358,A,hain,sunk,4,3,0,1,0,1,0,0,0,0
6,normal,dengeli,10606596958131815358,B,crew,port,5,5,1,1,1,2,0,0,0,0
6,normal,dengeli,12543881889277428214,A,crew,port,5,5,1,1,1,4,0,0,0,0
6,normal,dengeli,12543881889277428214,B,crew,port,6,6,1,1,1,1,0,0,0,0
6,normal,dengeli,17052018044586573057,A,hain,scurvy,6,5,1,1,0,2,0,0,0,0
6,normal,dengeli,17052018044586573057,B,hain,scurvy,6,5,1,1,0,2,0,0,0,0
6,normal,dengeli,16660466705780930969,A,hain,sunk,3,2,0,1,0,0,0,0,0,0
6,normal,dengeli,16660466705780930969,B,hain,sunk,3,2,0,1,0,0,0,0,0,0
6,normal,dengeli,15855854431125810380,A,hain,sunk,3,2,0,1,1,0,0,0,0,0
6,normal,dengeli,15855854431125810380,B,hain,sunk,5,4,0,1,1,2,0,0,0,0
6,normal,dengeli,9662892118882655285,A,crew,port,5,5,1,1,1,2,0,0,0,0
6,normal,dengeli,9662892118882655285,B,crew,port,5,5,1,1,1,2,0,0,0,0
6,normal,dengeli,5798654220990373008,A,hain,crew_extinct,6,6,1,0,0,5,0,0,0,0
6,normal,dengeli,5798654220990373008,B,crew,port,6,6,1,0,0,2,0,0,0,0
6,normal,dengeli,1137530988628211764,A,hain,sunk,8,7,0,0,0,2,0,0,0,0
6,normal,dengeli,1137530988628211764,B,hain,sunk,8,7,0,0,0,2,0,0,0,0
6,normal,dengeli,10450633696151196391,A,hain,sunk,5,4,0,0,0,2,0,0,0,0
6,normal,dengeli,10450633696151196391,B,hain,sunk,4,3,0,0,0,1,0,0,0,0
6,normal,kaotik,16822259520701573983,A,crew,port,6,6,1,1,1,2,0,0,0,0
6,normal,kaotik,16822259520701573983,B,crew,port,6,6,1,1,1,2,0,0,0,0
6,normal,kaotik,1633390621009917223,A,hain,sunk,4,3,0,1,1,2,0,0,0,0
